locus_tag	gene	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)
SL1344_0550A	cusA	0	25.89	0	8.63
SL1344_0551	ykgD	0	0	0	0
SL1344_0552	ykgC	0	0	0	0
SL1344_0553		0	0	0	0
SL1344_0554	ykgB	0	0	0	0
SL1344_0555		7.08	26	0	11.03
SL1344_0556	pheP	35.81	30.68	7.13	24.54
SL1344_0557	ybdG	7.36	32.44	43.98	27.93
SL1344_0558	apeE	122.48	96.13	85.77	101.46
SL1344_0559		33.54	29.1	0	20.88
SL1344_0560		0	0	0	0
SL1344_0561		0	0	0	0
SL1344_0562	manZ	0	0	0	0
SL1344_0563	manY	0	0	0	0
SL1344_0564	manX	0	0	0	0
SL1344_0565		18.53	0	0	6.18
SL1344_0566	nfnB	38.22	9.36	0	15.86
SL1344_0567	ybdF	67.83	0	0	22.61
SL1344_0568	ramR	42.96	31.54	0	24.84
SL1344_0569	ramA	0	0	0	0
SL1344_0570	ybdJ	0	0	0	0
SL1344_0571	ybdK	29.77	10.93	0	13.57
SL1344_0572	entD	11.82	8.68	28.24	16.24
SL1344_0573	fepA	118.07	56.89	8.81	61.26
SL1344_0574	fes	47.98	25.16	106.43	59.85
SL1344_0575	ybdZ	152.67	84.07	45.59	94.11
SL1344_0576	entF	27.85	25.17	38.38	30.47
SL1344_0577	fepE	0	16.13	0	5.38
SL1344_0578	fepC	0	7.69	0	2.56
SL1344_0579	fepG	8.41	6.18	20.1	11.56
SL1344_0580	fepD	49.57	42.47	59.22	50.42
SL1344_0581	ybdA	6.69	0	15.98	7.56
SL1344_0582	fepB	0	6.39	0	2.13
SL1344_0583	entC	14.16	10.4	16.92	13.83
SL1344_0584	entE	15.5	22.77	12.35	16.87
SL1344_0585	entB	48.54	35.64	0	28.06
SL1344_0586	entA	11.02	16.18	0	9.07
SL1344_0587	ybdB	40.29	14.79	24.06	26.38
SL1344_0588	cstAa	288.54	249.59	245.52	261.22
SL1344_0589	ybdD	168.94	124.04	151.35	148.11
SL1344_0590	ybdH	7.65	11.23	0	6.29
SL1344_0591	ybdL	0	10.53	0	3.51
SL1344_0592	ybdM	13.49	19.8	32.22	21.83
SL1344_0593	ybdN	0	0	0	0
SL1344_0594	ybdO	18.45	6.77	33.06	19.43
SL1344_0595	dsbG	44.61	8.19	93.26	48.69
SL1344_0596	ahpC	192.12	227.87	229.49	216.49
SL1344_0597	ahpF	10.63	0	0	3.54
SL1344_0598		0	0	0	0
SL1344_0599		3.65	0	0	1.22
SL1344_0600		14.94	0	0	4.98
SL1344_0601		10.85	7.96	0	6.27
SL1344_0602	ybdQ	466.56	356.84	719.86	514.42
SL1344_0603	ybdR	0	4.93	0	1.64
SL1344_0604	rnk	223.23	149	72.72	148.32
sRNA10	sRNA10	504.26	555.38	702.74	587.46
SL1344_0605	rna	402.59	333.5	184.96	307.02
SL1344_0606	citT	17.06	16.7	0	11.25
SL1344_0607	citG	0	0	0	0
SL1344_0608	citX	0	0	0	0
SL1344_0609	citF	0	0	0	0
SL1344_0610	citE	0	0	0	0
SL1344_0611	citD	0	0	0	0
SL1344_0612	citC	0	0	0	0
SL1344_0613	citA	0	0	0	0
SL1344_0614	citB	12.24	0	14.62	8.95
SL1344_0615	dcuC	6.64	9.75	0	5.46
SL1344_0616	pagP	247.28	245.65	208.5	233.81
SL1344_0617	cspE	12755.11	11728.42	7125.88	10536.47
SL1344_0618	ccrB	21.72	0	77.85	33.19
SL1344_0619		21.12	0	0	7.04
SL1344_0620	tatE	409.86	421.32	342.71	391.3
SL1344_0621	lipA	43.11	6.33	0	16.48
SL1344_0622	ybeF	8.73	0	0	2.91
SL1344_0623	lipB	51.92	66.71	0	39.55
SL1344_0624	ybeD	85.78	314.9	0	133.56
SL1344_0625	dacA	103.06	126.12	123.11	117.43
SL1344_0626	rlpA	70.18	34.35	37.26	47.26
SL1344_0627	mrdB	22.45	10.99	0	11.14
SL1344_0628	mrdA	26.26	28.92	0	18.39
SL1344_0629	ybeA	53.45	78.49	0	43.98
SL1344_0630	ybeB	52.49	38.54	125.41	72.15
SL1344_0631	cobC	27.37	20.1	0	15.82
SL1344_0632	cobD	0	22.34	0	7.45
SL1344_0633	nadD	0	9.53	46.52	18.68
SL1344_0634	holA	24.21	71.11	0	31.77
SL1344_0635	rlpB	56.41	113.9	16.85	62.38
SL1344_0636	leuS	51.56	54.42	34.64	46.87
SL1344_0637		0	0	0	0
SL1344_0638		0	0	0	0
SL1344_0639		9.41	6.91	0	5.44
SL1344_0640		0	3.17	5.15	2.77
SL1344_0641	ybeL	17.59	51.66	147.08	72.11
SL1344_0642	ybeQ	16.72	0	0	5.57
SL1344_0643	ybeR	0	0	0	0
SL1344_0644	ybeS	0	0	0	0
SL1344_0645	ybeU	0	0	0	0
SL1344_0647	ybeV	0	8.3	6.75	5.02
SL1344_0648	hscC	9.91	7.28	0	5.73
SL1344_0649		0	9.87	8.03	5.97
SL1344_0650	rihA	8.9	45.74	0	18.21
SL1344_0651	gltL	91.81	143.25	178.21	137.76
SL1344_0652	gltK	98.76	54.38	103.22	85.45
SL1344_0653	gltJ	134.92	123.83	26.86	95.21
SroC	SroC	2080.06	2692.85	2157.75	2310.22
SL1344_0654	gltI	548.09	488.2	279.06	438.45
SL1344_0655	lnt	70.33	15.89	19.39	35.2
SL1344_0656	ybeX	94.76	90.45	147.16	110.79
SL1344_0657	ybeY	52.77	25.83	0	26.2
SL1344_0658	phoL	84.35	140.76	45.8	90.31
SL1344_0659	miaB	105.17	90.09	111.67	102.31
SL1344_0660	ubiF	14.16	20.8	16.92	17.29
SL1344_0661		28.94	0	0	9.65
tRNA_6	tRNA_6	2578.11	2925.51	839.89	2114.5
tRNA_7	tRNA_7	683.86	669.5	408.44	587.26
tRNA_8	tRNA_8	2226.55	2581.33	1119.86	1975.91
tRNA_9	tRNA_9	1438.07	980.48	39264.1	13894.22
SL1344_0662	asnB	30	11.01	23.89	21.64
SL1344_0663	nagD	11.06	32.5	0	14.52
SL1344_0664	nagC	40.92	15.02	0	18.65
SL1344_0665	nagA	180.25	37.06	43.06	86.79
SL1344_0666	nagB	62.4	61.09	86.96	70.15
SL1344_0667	nagE	21.31	46.95	66.19	44.82
SL1344_0668	glnS	94.83	84.29	41.73	73.62
SL1344_0669	ybfM	0	0	0	0
SL1344_0670	ybfN	0	0	0	0
SL1344_0671		0	18.74	7.62	8.79
SL1344_0672		0	0	0	0
SL1344_0673		5.93	4.35	28.34	12.87
SL1344_0674		8.99	13.19	21.47	14.55
SL1344_0675	fur	257.71	283.83	197.89	246.48
SL1344_0676	fldA	125.59	195.95	112.51	144.69
SL1344_0677	ybfE	0	0	35.37	11.79
SL1344_0678	ybfF	21.61	7.93	0	9.85
SL1344_0679	seqA	214.91	45.09	0	86.67
SL1344_0680	pgm	91.32	74.5	36.36	67.39
SL1344_0681		17.16	12.6	0	9.92
SL1344_0682	potE	0	0	0	0
SL1344_0683	speF	0	2.78	0	0.93
SL1344_0684	kdpE	49.16	72.19	58.72	60.02
SL1344_0685	kdpD	0	40.97	3.7	14.89
SL1344_0686	kdpC	0	0	34.04	11.35
SL1344_0687	kdpB	8.13	0	0	2.71
SL1344_0688	kdpA	9.91	3.64	5.92	6.49
SL1344_0688A	kdpF	0	0	0	0
SL1344_0689	ybfA	201.95	29.66	96.49	109.37
SL1344_0690	phrB	5.86	4.3	0	3.38
SL1344_0691	ybgH	28.09	8.25	6.71	14.35
SL1344_0692	ybgI	44.79	106.89	107.01	86.23
SL1344_0693	ybgJ	25.37	46.56	0	23.98
SL1344_0694	ybgK	17.85	58.99	21.33	32.73
SL1344_0695	ybgL	0	24.97	27.08	17.35
SL1344_0696		0	0	0	0
SL1344_0697	fimB	0	0	0	0
SL1344_0698		0	0	29.67	9.89
SL1344_0699		11.24	8.26	0	6.5
SL1344_0700		0	0	0	0
SL1344_0702		0	0	0	0
SL1344_0703		0	0	0	0
SL1344_0704		0	0	0	0
SL1344_0705		0	0	0	0
SL1344_0706		4.68	0	0	1.56
SL1344_0707		0	0	0	0
SL1344_0708		0	0	0	0
SL1344_0709		0	89.18	145.09	78.09
SL1344_0710	nei	42.07	0	0	14.02
SL1344_0711	abrB	0	0	0	0
SL1344_0712	gltA	71.33	157.13	92.96	107.14
SL1344_0713		0	0	0	0
SL1344_0714	sdhC	320.83	329.8	332.14	327.59
SL1344_0715	sdhD	119.89	70.42	458.27	216.19
SL1344_0716	sdhA	113.07	34.59	135.07	94.24
SL1344_0717	sdhB	127.29	212.42	193.52	177.74
SL1344_0718	sucA	210.9	137.41	106.45	151.59
SL1344_0719	sucB	309.94	298.38	197.46	268.59
SL1344_0720	sucC	171.26	167.66	110.81	149.91
SL1344_0721	sucD	134.04	140.6	57.18	110.61
RybD	RybD	100.24	73.6	0	57.95
SL1344_0722	cydA	143.27	140.26	69.72	117.75
SL1344_0723	cydB	204.54	150.18	191.97	182.23
SL1344_0724	ybgT	73.63	756.89	0	276.84
SL1344_0725	ybgE	236.88	130.44	35.37	134.23
SL1344_0726	ybgC	41.19	60.49	0	33.89
SL1344_0727	tolQ	132.26	70.63	114.9	105.93
SL1344_0728	tolR	174.96	42.82	0	72.59
SL1344_0729	tolA	40.82	24.98	0	21.93
SL1344_0730	tolB	244.71	198.59	76.93	173.41
SL1344_0731	pal	778.04	641.23	227.6	548.96
SL1344_0732	ybgF	147.82	139.55	0	95.79
tRNA_10	tRNA_10	5200.16	5345.51	1242.34	3929.34
tRNA_11	tRNA_11	5315.72	8654.63	11181.07	8383.81
SL1344_0733	nadA	0	11.71	0	3.9
SL1344_0734	pnuC	46.29	0	13.82	20.04
SL1344_0735	ybgR	0	0	0	0
SL1344_0736	ybgS	0	15.83	0	5.28
SL1344_0737	aroG	31.64	52.26	28.34	37.41
SL1344_0738		15.27	0	0	5.09
SL1344_0739		39.39	21.69	11.76	24.28
SL1344_0740		0	0	33.5	11.17
SL1344_0741		0	0	0	0
SL1344_0742		0	0	0	0
SL1344_0743	dcoC	0	0	0	0
SL1344_0744	dcoA	0	0	0	0
SL1344_0745	dcoB	0	0	11.46	3.82
SL1344_0746		0	8.75	0	2.92
SL1344_0747		0	0	0	0
SL1344_0748		21.44	15.75	0	12.4
SL1344_0749	gpmA	409.37	454.94	251.11	371.81
SL1344_0750	galM	24	23.5	0	15.83
SL1344_0751	galK	21.74	47.89	25.97	31.87
SL1344_0752	galT	0	5.84	28.5	11.45
SL1344_0753	galE	0	48.1	0	16.03
SL1344_0754		0	0	0	0
SL1344_0755	modF	28.2	57.99	20.21	35.47
SL1344_0756	modE	10.56	23.26	0	11.27
SL1344_0757	ybhT	1340.18	697.02	667.03	901.41
SL1344_0758	modA	172.22	110.64	77.14	120
SL1344_0759	modB	96.61	70.93	0	55.85
SL1344_0760	modC	62.91	51.97	9.39	41.43
SL1344_0761	ybhA	0	7.47	36.45	14.64
SL1344_0762	ybhE	91.98	36.84	39.95	56.26
SL1344_0763	ybhC	25.94	47.62	0	24.52
SL1344_0764	hutI	34.02	19.98	16.25	23.42
SL1344_0765	hutG	0	51.94	63.37	38.44
SL1344_0766	hutC	12.29	27.07	14.68	18.01
SL1344_0767	hutU	64.19	54.38	41.29	53.29
SL1344_0768	hutH	54.74	68.33	39.23	54.1
SL1344_0769	ybhB	87.4	64.17	0	50.52
SL1344_0770	bioA	103.28	90.05	146.5	113.27
SL1344_0771	bioB	64	146.85	124.23	111.7
SL1344_0772	bioF	21.57	52.8	0	24.79
SL1344_0773	bioC	55.1	80.92	26.33	54.11
SL1344_0774	bioDa	72.77	80.15	115.9	89.61
SL1344_0775	uvrB	16.47	45.34	34.42	32.08
SL1344_0776	slrP	260.8	215.43	160.09	212.11
SL1344_0777	ybhK	9.16	6.73	0	5.3
SL1344_0778	moaA	16.83	6.18	0	7.67
SL1344_0779	moaB	32.5	11.93	0	14.81
SL1344_0780	moaC	0	0	0	0
SL1344_0781	moaD	33.15	0	0	11.05
SL1344_0782	moaE	0	54.06	0	18.02
SL1344_0783	ybhL	118.19	78.1	112.94	103.08
SL1344_0784	ybhM	0	0	0	0
SL1344_0785		0	0	0	0
SL1344_0786		0	0	70.99	23.66
SL1344_0787	ybhN	8.65	6.35	0	5
SL1344_0788	ybhO	0	14.77	0	4.92
SL1344_0789	ybhP	0	0	0	0
SL1344_0790	ybhQ	426.16	238.41	315.13	326.57
SL1344_0791	ybhR	15.05	11.05	0	8.7
SL1344_0792	ybhS	44.18	21.63	0	21.93
SL1344_0793	ybhF	0	17.6	5.73	7.77
SL1344_0794		16.72	36.84	59.93	37.83
SL1344_0795	ybiH	37.03	18.13	0	18.39
SL1344_0796	rhlE	48.8	17.92	0	22.24
SL1344_0797	dinG	12.21	11.95	9.72	11.29
SL1344_0798	ybiB	8.54	12.54	0	7.03
SL1344_0799	ybiJ	0	0	0	0
SL1344_0800	ybiI	93.84	22.97	149.45	88.75
SL1344_0801	ybiN	17.85	0	0	5.95
SL1344_0802	ybiO	3.74	2.75	0	2.16
SL1344_0803	glnQ	149.81	135.38	96.36	127.18
SL1344_0804	glnP	75.75	46.35	0	40.7
SL1344_0805	glnH	211.91	237.49	199.84	216.41
SL1344_0806	dps	463.16	522.25	908.91	631.44
SL1344_0807	ybiF	9.38	0	0	3.13
SL1344_0808	ompX	888.57	1055.76	405.27	783.2
SL1344_0809	ybiP	21.06	27.07	0	16.04
RybA	RybA	3206.76	3181.85	3519.97	3302.86
SL1344_0810		0	38.75	0	12.92
SL1344_0811	ybiR	82.3	10.99	8.94	34.08
SL1344_0812	ybiS	36.18	53.12	32.41	40.57
SL1344_0813	ybiT	57.49	53.72	37.46	49.56
SL1344_0814		11.2	0	0	3.73
SL1344_0815	ybiV(2)	0	0	0	0
SL1344_0817	ybiU	0	4.83	7.86	4.23
SL1344_0818	ybiV(1)	30.85	30.21	36.86	32.64
SL1344_0819	pflF	0	0	0	0
SL1344_0820	pflE	0	0	0	0
SL1344_0821	moeB	0	16.31	66.35	27.55
SL1344_0822	moeA	26.82	4.92	0	10.58
SL1344_0823	ybiK	0	25.97	42.25	22.74
SL1344_0824	yliA	35.58	0	0	11.86
SL1344_0825	yliB	0	19.86	12.92	10.93
SL1344_0826	yliC	27.13	19.92	0	15.68
SL1344_0827	yliD	18.27	13.41	10.91	14.2
SL1344_0828	rimO	6.28	13.83	0	6.7
SL1344_0829	bssR	21.72	79.75	0	33.83
SL1344_0830		16.16	23.72	38.6	26.16
SL1344_0831		0	0	0	0
SL1344_0832		26.36	0	0	8.79
SL1344_0833		7.15	5.25	0	4.14
SL1344_0834		0	14.5	5.9	6.8
SL1344_0835		215.02	185.33	44.67	148.34
SL1344_0836		176.19	201.24	0	125.81
SL1344_0837	yliI	24.47	0	0	8.16
SL1344_0838	yliJ	79.75	97.59	206.4	127.91
SL1344_0839	dacC	117.67	101.65	157.1	125.48
SL1344_0840	deoR	76.84	112.83	13.11	67.59
SL1344_0841	ybjG	41.05	70.34	32.69	48.03
SL1344_0842	mdfA	13.51	0	8.07	7.19
SL1344_0843		10.21	14.99	36.58	20.59
SL1344_0844		13.74	25.22	0	12.99
SL1344_0845		0	0	144.27	48.09
RybB	RybB	4266.8	2428	891.94	2528.91
SL1344_0846		24.69	18.13	0	14.27
SL1344_0847	ybjM	22.07	0	0	7.36
SL1344_0848	grxA	854.17	1045.29	566.85	822.1
SL1344_0849	ybjC	0	0	0	0
SL1344_0850	mdaA	25.29	46.42	90.63	54.11
SL1344_0852	rimK	0	0	0	0
SL1344_0853	ybjN	17.48	77.01	104.4	66.29
SL1344_0854	potF	89.79	32.96	107.25	76.67
SL1344_0855	potG	22.03	64.7	17.54	34.76
SL1344_0856	potH	0	6.41	10.43	5.61
SL1344_0857	potI	0	43.38	0	14.46
SL1344_0858	ybjO	17.59	12.92	21.01	17.17
SL1344_0859	rumB	0	16.22	35.18	17.13
SL1344_0860		0	0	0	0
SL1344_0861		0	19.09	0	6.36
SL1344_0862		5.6	4.11	6.68	5.46
SL1344_0863	artJ	250.4	217.29	367.09	278.26
SL1344_0864	artM	199.29	155.47	59.51	138.09
SL1344_0865	artQ	162.69	93.86	499.71	252.08
SL1344_0866	artI	79.67	83.57	13.6	58.95
SL1344_0867	artP	148.58	142.66	122.87	138.03
SL1344_0868	ybjP	0	35.59	0	11.86
SL1344_0869		128.8	170.22	123.08	140.7
SL1344_0870	ybjR	30.07	66.24	11.97	36.1
SL1344_0871		0	12.06	9.81	7.29
SL1344_0872	ybjT	5.81	4.26	0	3.36
SL1344_0873	ltaA	8.31	61.03	29.79	33.04
SL1344_0874	poxB	14.53	3.56	17.36	11.81
SL1344_0875	hcr	0	0	0	0
SL1344_0876	hcp	0	3.7	18.05	7.25
SL1344_0877	ybjE	10.52	15.45	0	8.66
SL1344_0878	ybjD	20.07	11.05	23.98	18.37
SL1344_0879	ybjX	283.65	258.76	102.67	215.02
SL1344_0880	ybjY	230.7	153	177.79	187.17
SL1344_0881	ybjZ	94.06	100.46	66.39	86.97
SL1344_0882	cspD	376.48	221.15	89.94	229.19
SL1344_0883	clpS	884.03	916.37	559.05	786.48
SL1344_0884	clpA	394.81	397.26	296.94	363
STnc490	STnc490	1963.21	3294.82	670.03	1976.02
SL1344_0885	tnp	109	0	303.8	137.6
SL1344_0886		0	0	0	0
SL1344_0887		0	15.23	49.57	21.6
tRNA_12	tRNA_12	9607.91	9236.46	168958.34	62600.9
SL1344_0888		0	9.02	0	3.01
SL1344_0889		19.35	14.21	0	11.19
SL1344_0890		0	13.41	32.73	15.38
SL1344_0891	infA	1030.49	476.4	410.31	639.07
SL1344_0892		227.61	482.79	90.63	267.01
SL1344_0893	aat	0	8.68	0	2.89
SL1344_0894	cydC	24.17	17.75	0	13.97
SL1344_0895	cydD	4.71	38.05	28.14	23.63
SL1344_0896	trxB	275.05	265.07	420.96	320.36
SL1344_0897	lrp	572.65	667.8	563.33	601.26
SL1344_0898	ftsK	77.4	76.27	51.09	68.25
SL1344_0899	lolA	135.51	139.3	48.56	107.79
SL1344_0900	ycaJ	86.73	54.59	0	47.11
SL1344_0901	serS	173.88	189.14	169.24	177.42
SL1344_0902	dmsA	0	2.5	0	0.83
SL1344_0903	dmsB	0	0	0	0
SL1344_0904	dmsC	9.64	14.16	0	7.93
SL1344_0905	ycaD	7.25	0	8.66	5.3
SL1344_0906	ycaM	52.7	51.59	20.98	41.76
SL1344_0907	pflA	70.68	81.55	24.12	58.79
SL1344_0908		0	0	60.97	20.32
SL1344_0909	sopD2	2654.85	2038.51	3451.09	2714.81
SL1344_0910	pflB	251.58	203.46	69.68	174.91
SL1344_0911	focA	87.38	42.77	81.18	70.44
SL1344_0912	ycaO	75.64	65.95	73.41	71.67
SL1344_0913	ycaP	0	0	0	0
SL1344_0914	serC	68.83	11.23	0	26.69
SL1344_0915	aroA	38.91	61.9	38.73	46.51
SL1344_0916	ycaL	10.93	8.03	0	6.32
SL1344_0917	cmk	134	116.28	14.55	88.28
SL1344_0918	rpsA	1889.84	1741.82	926.74	1519.47
SL1344_0919	himD	556.64	387.2	454.94	466.26
SL1344_0920	rec2	0	18.89	0	6.3
SL1344_0921	msbA	28.56	24.46	28.43	27.15
SL1344_0922	lpxK	8.52	18.76	30.52	19.26
SL1344_0923	ycaQ	20.26	0	0	6.75
SL1344_0924	ycaR	0	100.7	0	33.57
SL1344_0925	kdsB	0	57.32	26.65	27.99
SL1344_0926		27.95	20.52	11.13	19.87
SL1344_0927	ycbC	32.17	0	0	10.72
SL1344_0928	smtA	0	38.04	0	12.68
SL1344_0929	mukF	44.06	13.86	22.55	26.82
SL1344_0930	mukE	94.55	17.36	0	37.3
SL1344_0931	mukB	111.78	87.55	73.44	90.92
SL1344_0932	ycbB	18.08	33.18	26.99	26.08
SL1344_0933	ycbK	364.39	367.89	181.36	304.55
SL1344_0934	ycbL	102.88	198.29	153.61	151.59
SL1344_0935	aspC	41.95	66.74	41.76	50.15
SL1344_0936	ompF	30.51	33.6	18.22	27.44
SL1344_0937	asnCa	89.15	165.82	149.08	134.68
SL1344_0938		54.14	0	0	18.05
SL1344_0939	dpaL	0	5.03	0	1.68
SL1344_0940		5.79	4.25	0	3.35
SL1344_0941	pncB	13.84	5.08	0	6.31
SL1344_0942		57.96	80.38	53.85	64.06
SL1344_0943		0	0	0	0
SL1344_0944		0	0	0	0
SL1344_0945		0	5.51	0	1.84
SL1344_0946	recEa	0	5.66	0	1.89
IsrB-2	IsrB-2	0	0	0	0
IsrB-1	IsrB-1	88.51	259.96	0	116.16
SL1344_0947		0	0	0	0
SL1344_0948		0	0	0	0
SL1344_0949		0	0	0	0
SL1344_0950		170.8	107.49	116.58	131.62
SL1344_0951	C1	0	0	0	0
STnc1080	STnc1080	0	0	0	0
SL1344_0952		0	0	0	0
SL1344_0953		0	0	0	0
SL1344_0954		0	0	0	0
SL1344_0955		26.75	19.64	0	15.47
SL1344_0956		258.21	273.86	68.54	200.21
SL1344_0957		173.62	120.14	127.97	140.57
SL1344_0958		68.14	0	16.51	28.22
SL1344_0959	ninG	0	0	0	0
SL1344_0960		0	0	0	0
SL1344_0961		0	0	0	0
SL1344_0962		0	19.27	31.35	16.87
SL1344_0963		0	0	0	0
SL1344_0964		0	0	0	0
SL1344_0965	gtgA	0	12.11	0	4.04
SL1344_0965A		0	36.47	0	12.16
SL1344_0966	nucD	0	0	0	0
SL1344_0967		0	0	0	0
SL1344_0968		0	22.92	0	7.64
SL1344_0969		0	0	0	0
SL1344_0971		0	3.95	38.55	14.17
SL1344_0972		0	5.87	4.78	3.55
SL1344_0973		0	0	61.54	20.51
SL1344_0974		0	0	0	0
SL1344_0975		14.7	0	0	4.9
SL1344_0976		0	15.23	24.78	13.34
SL1344_0977		0	0	0	0
SL1344_0978		0	0	0	0
SL1344_0979		0	0	0	0
SL1344_0980		5.47	1.98	0	2.48
SL1344_0981		25.06	0	29.94	18.33
SL1344_0982		16.74	24.58	39.99	27.11
SL1344_0983	sodCa	1342.48	1295.19	1212.04	1283.24
SL1344_0984		0	8.79	0	2.93
SL1344_0985		11.29	0	0	3.76
SL1344_0986		0	0	0	0
SL1344_0987		4.97	3.65	0	2.87
SL1344_0988		0	0	0	0
SL1344_0989		0	52.57	0	17.52
SL1344_0990		0	0	0	0
SL1344_0991	sseI	581.57	656.36	228.95	488.96
SL1344_0992		218.95	102.31	71.33	130.86
SL1344_0993		0	9.76	0	3.25
SL1344_0994		0	0	0	0
SL1344_0995	gtgE	97.03	71.24	28.98	65.75
SL1344_0996	gtgF	43.56	0	0	14.52
SL1344_0997	pepN	44.6	81.86	34.25	53.57
SL1344_0998	pyrD	8.02	5.89	0	4.64
SL1344_0999	ycbW	61.4	78.9	110.02	83.44
SL1344_1000		0	22.03	0	7.34
SL1344_1001	rlmL	11.84	8.69	18.86	13.13
SL1344_1002	uup	26.18	25.63	10.42	20.74
SL1344_1003	pqiA	13.28	4.88	7.93	8.7
SL1344_1004	pqiB	65.95	52.15	18.18	45.43
SL1344_1005	ymbA	0	0	0	0
SL1344_1006	rmf	199.29	438.98	297.57	311.95
SL1344_1007	fabA	64.25	141.52	153.49	119.76
SL1344_1008	lonH	57.71	38.52	106.53	67.59
SL1344_1009	ycbG	73.63	13.52	65.96	51.04
SL1344_1010	ompA	972.81	871.08	538.51	794.13
SL1344_1011	sulA	147.12	180.03	273.36	200.17
SL1344_1012	sxy	13.75	40.39	0	18.05
SL1344_1013	yccS	7.73	5.68	4.62	6.01
SL1344_1014	yccF	37.31	13.7	89.14	46.71
SL1344_1015	helD	12.15	17.85	19.35	16.45
SL1344_1016	mgsA	36.33	133.39	21.7	63.81
SL1344_1017	yccT	0	0	0	0
SL1344_1018		40	73.43	47.78	53.74
SL1344_1019	yccV	52.49	38.54	31.35	40.8
SL1344_1020	yccW	13.74	20.18	8.21	14.04
SL1344_1021		0	11.15	0	3.72
SL1344_1022		10.68	7.84	63.79	27.44
SL1344_1023	yccX	0	21.74	0	7.25
SL1344_1024	yccK	50.58	55.71	0	35.43
SL1344_1025	yccA	446.24	221.96	120.37	262.86
tRNA_13	tRNA_13	0	145.46	118.32	87.92
SL1344_1026	pipA	269.18	206.63	116.93	197.58
SL1344_1027	pipB	1854.23	1752.45	726.95	1444.54
SL1344_1028		0	0	0	0
SL1344_1029	pipC	463.59	716.62	408.04	529.42
SL1344_1030	sopB	182.7	166.78	106.17	151.88
SL1344_1031	orfX	146.83	0	0	48.94
SL1344_1032		0	0	0	0
SL1344_1033	pipD	101.95	116.44	67.66	95.35
SL1344_1034	copS	24.4	13.44	7.29	15.04
SL1344_1035	copR	66.92	24.57	13.32	34.94
SL1344_1036		0	0	0	0
SL1344_1037	hpaC	0	0	0	0
SL1344_1038	hpaB	0	0	0	0
SL1344_1039	hpaR	18.91	0	0	6.3
SL1344_1040	hpaG	32.27	9.48	0	13.92
SL1344_1041	hpaE	0	0	13.56	4.52
SL1344_1042	hpaD	0	0	0	0
SL1344_1043	hpaF	0	0	0	0
SL1344_1044	hpaH	0	0	0	0
SL1344_1045	hpaI	10.52	0	0	3.51
SL1344_1046	hpaX	6.05	4.44	0	3.5
SL1344_1047	hpaA	0	0	0	0
SL1344_1048		0	6.66	0	2.22
SL1344_1049		0	0	0	0
SL1344_1050	yccD	0	0	32.59	10.86
SL1344_1051	cbpA	0	33.2	0	11.07
SL1344_1052	scsA	0	0	0	0
SL1344_1053	scsB	4.41	0	0	1.47
SL1344_1054	scsC	0	9.81	0	3.27
SL1344_1055	scsD	0	0	0	0
SL1344_1056	agp	6.7	19.69	0	8.8
SL1344_1057	yccJ	879.67	511.34	306.48	565.83
SL1344_1058	wrbA	111.68	164	133.41	136.36
SL1344_1059	ymdF	149.47	182.91	0	110.79
SL1344_1060	ycdC	0	0	0	0
SL1344_1061		126.38	61.86	0	62.75
SL1344_1062	putA	115.5	95.6	100.34	103.81
SL1344_1063	putP	331.04	279.53	250.45	287.01
SL1344_1064	phoH	506.62	443.52	407.32	452.49
SL1344_1065		28.33	0	22.56	16.96
STnc500	STnc500	104	0	0	34.67
SL1344_1066		5.56	0	0	1.85
SL1344_1067		36.71	0	0	12.24
SL1344_1068		0	0	0	0
SL1344_1069		0	8.83	0	2.94
SL1344_1070		0	0	15.53	5.18
SL1344_1071		0	38.67	0	12.89
SL1344_1072	ycdW	0	19.54	0	6.51
SL1344_1073	ycdX	67.74	49.74	13.49	43.65
SL1344_1074	ycdY	15.02	11.03	0	8.68
SL1344_1075	ycdZ	17.59	12.92	0	10.17
SL1344_1076	csgG	0	0	39.97	13.32
SL1344_1077	csgF	0	0	0	0
SL1344_1078	csgE	0	0	0	0
SL1344_1079	csgD	0	0	0	0
SL1344_1080	csgB	0	0	0	0
SL1344_1081	csgA	0	40.28	0	13.43
SL1344_1082	csgC	0	18.74	0	6.25
SL1344_1083	ymdA	0	19.09	0	6.36
SL1344_1084		15.44	0	0	5.15
SL1344_1085	ymdC	27.98	41.08	33.42	34.16
SL1344_1086	mdoC	21.63	0	0	7.21
SL1344_1087	mdoG	65.04	83.58	6.47	51.7
SL1344_1088	mdoH	58.89	60.06	35.17	51.38
SL1344_1089	yceK	0	0	0	0
SL1344_1090	msyB	0	32.67	26.57	19.75
SL1344_1091	yceE	6.85	0	0	2.28
SL1344_1092	htrB	27.13	19.92	0	15.68
SL1344_1093	yceA	31.64	11.61	9.45	17.57
SL1344_1094	yceI	14.47	31.87	0	15.45
SL1344_1095	yceJ	0	10.68	0	3.56
SL1344_1096	yceO	0	0	0	0
SL1344_1097	solA	7.44	10.93	26.67	15.01
SL1344_1098	bssS	32.37	47.54	116.02	65.31
SL1344_1099	dinI	33.96	124.68	121.7	93.45
SL1344_1100	pyrC	7.95	23.36	9.5	13.61
SL1344_1101	yceB	163.43	98.18	106.49	122.7
