Locus Tag	Name	FDR (Mouse)	logFC (Mouse)	Fitness (Mouse)	FDR (Pig)	logFC (Pig)	Fitness (Pig)	FDR (Chicken)	logFC (Chicken)	Fitness (Chicken)	FDR (Cattle)	logFC (Cattle)	Fitness (Cattle)
SL1344_0784	ybhM	0.015902184	1.695315771	1	na	na	3	na	na	3	na	na	3
SL1344_0785	SL1344_0785	0.183956853	2.116387343	0	na	na	3	na	na	3	na	na	3
SL1344_0786	SL1344_0786	na	na	3	1.56E-11	-15	2	5.33E-10	-15	2	2.06E-71	-15	2
SL1344_0787	ybhN	0.019337677	-1.582151868	2	0.203305407	1.535285555	0	0.782158105	1.127312946	0	0.018654632	1.451073997	1
SL1344_0789	ybhP	na	na	3	na	na	3	0.885008871	0.589153431	0	0.098246162	1.215309301	0
SL1344_0790	ybhQ	na	na	3	0.699303893	0.609529504	0	0.574540435	1.275400709	0	0.628180233	-0.329667146	0
SL1344_0791	ybhR	0.725155668	0.555493746	0	na	na	3	na	na	3	na	na	3
SL1344_0792	ybhS	0.48325436	1.119674105	0	0.377659738	1.056750807	0	0.660195496	1.122793331	0	2.29E-09	-3.080267958	2
SL1344_0793	ybhF	0.726134774	0.540923203	0	0.26579912	1.239925927	0	0.994131322	0.150647984	0	0.077046566	-1.218741133	0
SL1344_0794	SL1344_0794	0.553086197	-0.699114938	0	na	na	3	na	na	3	na	na	3
SL1344_0795	ybiH	na	na	3	0.439646476	1.213710422	0	0.742168651	0.978030992	0	0.085335139	1.164766283	0
SL1344_0796	rhlE	0.85626744	0.536235427	0	0.142998632	1.470122697	0	0.751317202	0.935049545	0	0.011402067	1.733670628	1
SL1344_0797	dinG	0.189750799	-1.06846478	0	0.294673806	1.271817563	0	0.873629666	1.230357733	0	na	na	3
SL1344_0798	ybiB	na	na	3	0.413531854	0.976897499	0	0.867841552	0.656356687	0	0.001070987	2.60567895	1
SL1344_0801	ybiN	na	na	3	0.204985191	1.341890849	0	0.823240134	0.770508377	0	0.089420853	1.244557358	0
SL1344_0802	ybiO	0.893571686	-0.257798519	0	0.6960583	-0.541791782	0	0.731933561	0.990096624	0	0.15676934	0.63601205	0
SL1344_0803	glnQ	0.917598564	-0.211303555	0	0.508182802	1.111589298	0	0.995431627	0.162596888	0	0.073267604	1.033870306	0
SL1344_0804	glnP	0.223190456	-1.053306163	0	na	na	3	na	na	3	na	na	3
SL1344_0805	glnH	0.591758107	0.674520119	0	0.186114553	2.010279315	0	0.495392165	1.587492531	0	0.027634416	1.651084313	1
SL1344_0806	dps	0.001684748	-1.934289617	2	2.09E-09	-15	2	0.000011	-4.737122431	2	8.84E-72	-15	2
SL1344_0807	ybiF	0.154408178	1.2608398	0	0.280324958	1.216065463	0	0.711573242	1.040251623	0	0.139805103	1.100497283	0
SL1344_0808	ompX	na	na	3	0.547040576	1.488034103	0	0.174859121	2.131605327	0	0.186186099	1.036996055	0
SL1344_0809	ybiP	na	na	3	0.073941655	3.115917847	0	0.305040396	1.791414399	0	0.00000917	-3.115497001	2
SL1344_0811	ybiR	0.518131505	0.780915159	0	na	na	3	0.536685221	1.334308691	0	0.123138368	1.146009728	0
SL1344_0812	ybiS	1	-0.000295174	0	na	na	3	na	na	3	na	na	3
SL1344_0813	ybiT	0.049976938	1.510463558	1	0.427453512	1.211560701	0	0.310027259	1.758408485	0	0.222410061	1.388622708	0
SL1344_0814	SL1344_0814	0.455873492	0.832368701	0	na	na	3	na	na	3	na	na	3
SL1344_0815	ybiV(2)	0.451152642	0.824208561	0	0.002642911	-3.064602977	2	0.147673513	-1.796984596	0	0.188527554	-0.917424401	0
SL1344_0817	ybiU	na	na	3	0.808765199	0.255288231	0	0.681511969	1.296152173	0	0.000000104	-2.679282821	2
SL1344_0818	ybiV(1)	0.663576082	-0.557425747	0	0.350769217	1.220180264	0	0.983383916	-0.06483965	0	0.058533124	1.561983132	0
SL1344_0819	pflF	0.343069278	0.987284331	0	0.479252014	1.11695647	0	0.603864249	1.243746072	0	0.012229655	1.810757704	1
SL1344_0820	pflE	0.877851751	0.329750091	0	na	na	3	na	na	3	na	na	3
SL1344_0821	moeB	0.118704293	-1.288266802	0	0.098231379	3.254358165	0	0.085969912	-2.112037945	0	0.608013161	0.376560425	0
SL1344_0822	moeA	na	na	3	0.021591611	-15	2	0.00031932	-3.880720647	2	0.713217526	0.297942092	0
SL1344_0823	ybiK	na	na	3	0.295622245	2.119412773	0	0.696310941	1.063951948	0	0.023425995	1.669958153	1
SL1344_0824	yliA	0.440137793	0.859578128	0	0.902867616	0.175070774	0	0.940356423	0.585219679	0	na	na	3
SL1344_0825	yliB	0.79079916	-0.403305656	0	na	na	3	na	na	3	na	na	3
SL1344_0826	yliC	na	na	3	0.270479719	2.465401864	0	0.827907365	2.358676272	0	0.443788139	0.448159851	0
SL1344_0827	yliD	0.949308104	0.376288214	0	na	na	3	na	na	3	na	na	3
SL1344_0828	rimO	0.706953145	0.552098414	0	0.783732396	0.433126686	0	0.71739018	1.008928746	0	na	na	3
SL1344_0829	bssR	0.367407288	0.928370209	0	na	na	3	na	na	3	na	na	3
SL1344_0830	SL1344_0830	0.712953866	0.690059336	0	na	na	3	na	na	3	na	na	3
SL1344_0831	SL1344_0831	0.860786352	0.352113056	0	na	na	3	na	na	3	na	na	3
SL1344_0832	SL1344_0832	0.308085327	-1.00719266	0	na	na	3	na	na	3	na	na	3
SL1344_0833	SL1344_0833	0.211504359	1.104191966	0	0.000000821	-15	2	7.19E-10	-15	2	1.38E-33	-15	2
SL1344_0834	SL1344_0834	0.443910391	0.857196957	0	1.39E-10	-15	2	1.62E-09	-15	2	1.14E-31	-15	2
SL1344_0835	SL1344_0835	0.520066228	-0.717744084	0	5.16E-12	-15	2	7.62E-11	-9.694565375	2	2.22E-34	-15	2
SL1344_0836	SL1344_0836	0.35093244	1.1330971	0	0.000558905	-15	2	0.114512464	-1.970332113	0	4.87E-34	-15	2
SL1344_0837	yliI	na	na	3	0.000000242	-15	2	0.0000406	-4.449491087	2	9.26E-14	-3.933683072	2
SL1344_0838	yliJ	0.844660021	-0.340073216	0	0.688758119	-0.516425062	0	0.93033271	0.453491581	0	0.093879988	1.234153656	0
SL1344_0839	dacC	na	na	3	0.052291671	-2.002761546	0	0.808402122	0.901193294	0	0.003079135	2.363578137	1
SL1344_0840	deoR	0.889328642	-0.265146255	0	na	na	3	na	na	3	na	na	3
SL1344_0841	ybjG	0.594245518	-0.628050771	0	na	na	3	na	na	3	na	na	3
SL1344_0842	mdfA	0.860730193	0.350007517	0	0.124968142	1.647833392	0	0.965569716	0.978663177	0	0.001048412	2.754956488	1
SL1344_0843	SL1344_0843	0.926492309	-0.189800706	0	0.310198202	1.245046123	0	0.92117525	-0.323518336	0	0.346918265	-0.605621433	0
SL1344_0845	SL1344_0845	0.985543756	-0.039942306	0	0.552423118	0.714559181	0	0.902213915	0.528127551	0	0.004219252	2.23035284	1
SL1344_0846	SL1344_0846	0.633571805	-0.591667677	0	0.464199975	0.85826964	0	0.00000134	-5.249136923	2	2.92E-28	-7.390861453	2
SL1344_0847	ybjM	0.781047924	-0.73862619	0	na	na	3	na	na	3	na	na	3
SL1344_0848	grxA	0.831611018	6.592758281	0	0.208065511	1.837437779	0	0.977400651	0.325425611	0	0.032812197	1.790490941	1
SL1344_0850	mdaA	0.682616652	0.733837142	0	na	na	3	0.811010216	-0.629346056	0	0.155899427	-0.755579819	0
SL1344_0852	rimK	0.661286834	0.636111068	0	0.772619108	0.379485778	0	0.50325099	1.408030356	0	0.359997126	-0.5247596	0
SL1344_0853	ybjN	0.99467608	0.051464095	0	na	na	3	na	na	3	na	na	3
SL1344_0854	potF	na	na	3	0.134595462	2.669108699	0	0.763105703	1.317463076	0	na	na	3
SL1344_0855	potG	0.652892402	0.646799573	0	0.771867253	0.386058432	0	0.951202485	0.33085095	0	0.228029824	0.901500496	0
SL1344_0856	potH	0.755305516	-0.461474455	0	0.952509724	0.091945715	0	0.892913253	0.579846826	0	0.742133151	0.243151586	0
SL1344_0857	potI	0.885999686	-0.331649304	0	na	na	3	na	na	3	na	na	3
SL1344_0858	ybjO	0.873137254	0.656026073	0	na	na	3	na	na	3	na	na	3
SL1344_0859	rumB	0.724307269	0.769394664	0	0.159214765	1.671425459	0	0.277508174	-1.531469359	0	0.0000729	-1.50458177	2
SL1344_0860	SL1344_0860	na	na	3	2.57E-25	-7.707849844	2	2.15E-09	-8.119318029	2	4.31E-34	-15	2
SL1344_0861	SL1344_0861	0.582164319	0.856419061	0	0.000000377	-15	2	0.000341681	-4.098754876	2	na	na	3
SL1344_0862	SL1344_0862	0.377913732	-0.813092502	0	0.030319931	-2.081547118	2	0.538720964	-1.142150763	0	0.0000122	-2.199398259	2
SL1344_0863	artJ	0.796915137	-0.691632111	0	na	na	3	na	na	3	na	na	3
SL1344_0865	artQ	0.77088413	-0.481503359	0	na	na	3	na	na	3	na	na	3
SL1344_0866	artI	0.564431105	-0.652376758	0	0.052566913	-2.635421295	0	0.922350069	-0.315592046	0	0.01438879	1.996509263	1
SL1344_0867	artP	0.562488711	0.753937093	0	na	na	3	na	na	3	na	na	3
SL1344_0868	ybjP	0.124075936	-1.502760811	0	na	na	3	na	na	3	na	na	3
SL1344_0869	SL1344_0869	0.016461687	-1.511637069	2	na	na	3	na	na	3	na	na	3
SL1344_0871	SL1344_0871	0.710862885	0.67222632	0	0.717034808	0.457611693	0	0.785261099	0.871242587	0	na	na	3
SL1344_0872	ybjT	0.98965239	-0.030382633	0	0.06282113	2.074699579	0	0.0000885	-4.489218512	2	0.00000307	2.695434522	1
SL1344_0873	ltaA	0.324070812	1.118332327	0	0.289903889	1.225642987	0	0.844257471	0.715358641	0	0.926795448	0.06657343	0
SL1344_0874	poxB	0.620860333	0.651315542	0	0.769046519	0.157707338	0	0.5881669	1.260899381	0	0.009134874	1.541840925	1
SL1344_0875	hcr	0.328352976	0.977192009	0	0.821171296	-0.30461351	0	0.852858469	0.696325147	0	0.020822617	1.801549688	1
SL1344_0876	hcp	0.133149612	1.306586286	0	0.448100236	1.015263771	0	0.638912447	1.176438493	0	0.006923004	2.094822907	1
SL1344_0877	ybjE	0.764389144	0.515293402	0	0.077971643	-2.224667164	0	0.337060477	-1.400176267	0	0.023756646	-1.20951082	2
SL1344_0878	ybjD	0.875265569	3.655608209	0	na	na	3	na	na	3	na	na	3
SL1344_0879	ybjX	na	na	3	0.283343387	-1.148904682	0	4.58E-08	-6.7537882	2	0.099111935	-0.878665437	0
SL1344_0881	ybjZ	0.578429804	0.861979295	0	0.294673806	1.454645518	0	0.794330268	0.841018574	0	0.02413537	-1.160796454	2
SL1344_0882	cspD	na	na	3	0.694598144	0.498387132	0	0.925939064	-0.32814422	0	0.01749031	1.761144385	1
SL1344_0883	clpS	0.674942928	0.601959664	0	na	na	3	na	na	3	na	na	3
SL1344_0884	clpA	0.917598564	-0.238590671	0	0.186197494	1.533753486	0	0.310463281	-1.448409447	0	0.364819838	-0.512219303	0
SL1344_0887	SL1344_0887	na	na	3	0.479166082	-0.921222887	0	0.935243072	-0.275426298	0	0.501393382	0.53152614	0
SL1344_0888	SL1344_0888	0.926711159	0.224081157	0	na	na	3	na	na	3	na	na	3
SL1344_0889	SL1344_0889	1	0.001213917	0	na	na	3	na	na	3	na	na	3
SL1344_0890	SL1344_0890	0.923611927	-0.196722969	0	0.989350962	-0.032545682	0	0.450216336	1.508645133	0	na	na	3
SL1344_0892	SL1344_0892	0.922797537	0.25338582	0	na	na	3	na	na	3	na	na	3
SL1344_0893	aat	0.553086197	0.85152583	0	na	na	3	na	na	3	na	na	3
SL1344_0894	cydC	2.17E-24	-15	2	na	na	3	na	na	3	na	na	3
SL1344_0895	cydD	2.79E-19	-15	2	0.164572713	-15	0	5.10E-10	-15	2	3.51E-20	-15	2
SL1344_0896	trxB	4.92E-08	-3.0388165	2	0.0000425	-4.627403827	2	0.000419822	-3.826435541	2	1.74E-24	-6.32903318	2
SL1344_0897	lrp	0.905720768	-0.241559691	0	na	na	3	0.961505079	2.085082349	0	0.014349113	1.898538126	1
SL1344_0898	ftsK	5.74E-41	-15	2	0.210593799	-15	0	9.94E-08	-15	2	1.85E-09	-15	2
SL1344_0900	ycaJ	0.568686374	0.718993404	0	na	na	3	na	na	3	na	na	3
SL1344_0902	dmsA	0.808916217	-0.37877886	0	0.515136591	-0.87574867	0	0.751317202	0.993468298	0	0.004063512	-2.09711538	2
SL1344_0904	dmsC	na	na	3	0.470130365	0.836719841	0	0.84085579	0.957372454	0	0.003029322	2.136794778	1
SL1344_0905	ycaD	0.952074277	-0.134309009	0	na	na	3	na	na	3	na	na	3
SL1344_0906	ycaM	0.875484877	-0.282715912	0	2.06E-11	-15	2	6.91E-11	-15	2	8.84E-72	-15	2
SL1344_0907	pflA	0.41914938	0.990980352	0	0.64551728	1.278429546	0	2.15E-09	-8.206108779	2	0.010242239	2.078758463	1
SL1344_0908	SL1344_0908	0.579625728	0.70250899	0	na	na	3	na	na	3	na	na	3
SL1344_0909	sopD2	0.524698332	0.807719791	0	2.02E-09	-6.777842782	2	0.003195561	-3.198287231	2	8.76E-31	-15	2
SL1344_0910	pflB	0.88141503	0.315746593	0	2.13E-08	-3.351875414	2	4.74E-11	-9.234867772	2	6.39E-09	-2.981022028	2
SL1344_0911	focA	0.354219326	-1.044247674	0	0.000000133	-15	2	9.99E-11	-15	2	1.99E-31	-15	2
SL1344_0912	ycaO	0.380114388	-0.858788797	0	0.880916678	0.213939217	0	0.685359442	1.088740824	0	0.174516182	1.028454904	0
SL1344_0913	ycaP	na	na	3	0.907115777	0.174774401	0	0.916860229	-0.41456978	0	0.075398583	1.319826815	0
SL1344_0915	aroA	6.01E-16	-7.071133255	2	1.94E-17	-6.688101098	2	4.20E-10	-15	2	na	na	3
SL1344_0916	ycaL	0.644345618	0.644775624	0	na	na	3	na	na	3	na	na	3
SL1344_0920	rec2	0.184797973	-1.116967167	0	0.770590729	0.411593524	0	0.738444477	0.970107213	0	0.009605048	1.284517246	1
SL1344_0923	ycaQ	0.560819733	-0.777034223	0	0.163453734	1.46562569	0	0.797084569	0.847124423	0	0.005830886	2.092902272	1
SL1344_0926	SL1344_0926	0.692670043	-0.52261525	0	na	na	3	na	na	3	na	na	3
SL1344_0927	ycbC	0.304897198	1.009881401	0	na	na	3	na	na	3	na	na	3
SL1344_0930	mukE	na	na	3	0.00037511	-3.643688911	2	0.731933561	-1.094467947	0	0.0000167	-2.169759003	2
SL1344_0932	ycbB	0.330951997	0.978871631	0	0.162829393	1.513083871	0	0.757179985	0.933932257	0	1.98E-15	-4.366890264	2
SL1344_0933	ycbK	0.993980613	0.178846244	0	na	na	3	na	na	3	na	na	3
SL1344_0934	ycbL	0.971824034	0.117351872	0	0.821147179	0.316424244	0	0.893211175	0.612081073	0	0.011618395	1.320147507	1
SL1344_0935	aspC	na	na	3	0.401950874	1.216738461	0	0.87210821	-0.471654335	0	0.237129268	-0.659450962	0
SL1344_0936	ompF	na	na	3	0.610682838	-0.731610332	0	0.868074497	0.646667664	0	0.0000422	-2.712250099	2
SL1344_0938	SL1344_0938	0.492811922	0.888217373	0	na	na	3	na	na	3	na	na	3
SL1344_0939	dpaL	0.68980433	-0.755197266	0	0.000045	-6.100446496	2	0.000000385	-5.79269162	2	4.75E-22	-15	2
SL1344_0940	SL1344_0940	0.285107396	1.16932151	0	0.00000206	-15	2	0.000000012	-15	2	1.27E-63	-15	2
SL1344_0941	pncB	0.043780508	-1.451889518	2	na	na	3	na	na	3	na	na	3
SL1344_0942	SL1344_0942	0.603467312	0.672349342	0	0.346536607	1.767106504	0	0.82453028	0.754156809	0	0.381717398	-0.636010196	0
SL1344_0946	recEa	0.990408545	0.064701745	0	0.881004093	-0.241282671	0	0.217796761	-1.646723398	0	0.155149912	-0.75163752	0
SL1344_0947	SL1344_0947	0.845985611	-0.339129377	0	na	na	3	na	na	3	na	na	3
SL1344_0948	SL1344_0948	0.700246676	1.211145445	0	0.009243013	-3.990911026	2	0.109503977	-2.04977023	0	9.66E-24	-6.287484069	2
SL1344_0952	SL1344_0952	0.465148437	-0.764832949	0	0.00000646	-6.17363731	2	0.000000587	-5.820527517	2	8.12E-28	-7.348760645	2
SL1344_0953	SL1344_0953	0.835271279	0.405730013	0	na	na	3	na	na	3	na	na	3
SL1344_0954	SL1344_0954	0.914333836	-0.222915666	0	na	na	3	na	na	3	na	na	3
SL1344_0955	SL1344_0955	0.707201779	0.840206828	0	na	na	3	na	na	3	na	na	3
SL1344_0956	SL1344_0956	na	na	3	0.000000337	-15	2	1.75E-08	-8.510502215	2	5.64E-62	-15	2
SL1344_0962	SL1344_0962	0.917196048	-0.223181271	0	0.930534182	0.127140135	0	0.847630069	-0.53981581	0	0.037934411	-1.425431218	2
SL1344_0964	SL1344_0964	na	na	3	0.00000047	-15	2	3.73E-10	-15	2	2.26E-34	-15	2
SL1344_0965	gtgA	0.952547173	-0.46363319	0	na	na	3	na	na	3	na	na	3
SL1344_0967	SL1344_0967	0.803199464	0.561966884	0	na	na	3	na	na	3	na	na	3
SL1344_0968	SL1344_0968	0.64786874	-0.565794352	0	na	na	3	na	na	3	na	na	3
SL1344_0969	SL1344_0969	0.912779973	-0.26109946	0	0.385388647	0.982480048	0	0.578319926	1.274714382	0	0.195336882	0.830459654	0
SL1344_0971	SL1344_0971	0.962619974	-0.116199562	0	0.527386469	0.654189834	0	0.834899332	0.741070996	0	0.023093552	1.644296225	1
SL1344_0972	SL1344_0972	0.459572501	-0.752400817	0	0.638123984	0.607737531	0	0.905037855	0.513160372	0	0.002415317	-1.640678241	2
SL1344_0974	SL1344_0974	0.996680917	-0.010223846	0	na	na	3	na	na	3	na	na	3
SL1344_0975	SL1344_0975	1	0.011502766	0	na	na	3	na	na	3	na	na	3
SL1344_0977	SL1344_0977	0.987894214	0.102290144	0	na	na	3	na	na	3	na	na	3
SL1344_0978	SL1344_0978	na	na	3	0.953535276	-0.090844323	0	0.540147492	1.345632946	0	0.015126245	-1.258417521	2
SL1344_0980	SL1344_0980	0.663576082	0.776426333	0	0.406866588	1.239301508	0	0.617871751	1.196239721	0	0.151810974	0.80002212	0
SL1344_0982	SL1344_0982	0.434301872	0.849201527	0	0.0000671	-5.917722316	2	0.041793425	-2.276269154	2	6.66E-14	-4.823405062	2
SL1344_0983	sodCa	0.972865512	0.113523171	0	0.39729756	1.984428976	0	0.968960871	0.275198437	0	0.000000003	-3.020889411	2
SL1344_0984	SL1344_0984	na	na	3	0.00000146	-15	2	0.426350837	-1.278140652	0	7.54E-09	-3.121963583	2
SL1344_0985	SL1344_0985	0.049213144	1.518724906	1	na	na	3	na	na	3	na	na	3
SL1344_0986	SL1344_0986	0.066343352	1.416290732	0	0.852678827	0.125176123	0	0.894342291	0.758127245	0	0.024214119	1.353381869	1
SL1344_0987	SL1344_0987	0.380860458	1.036345875	0	0.3130261	1.293323219	0	0.6481622	1.148831873	0	0.0000239	-2.111078933	2
SL1344_0988	SL1344_0988	0.568251437	0.719828951	0	0.057328769	-2.09420669	0	0.56425787	-1.065381265	0	0.066345165	-1.21523842	0
SL1344_0989	SL1344_0989	0.985543756	0.075065164	0	na	na	3	na	na	3	na	na	3
SL1344_0991	sseI	0.932590212	0.386777624	0	0.000000367	-2.751891756	2	8.11E-10	-9.080058599	2	7.19E-30	-15	2
SL1344_0992	SL1344_0992	0.269089616	-0.98369379	0	1.91E-09	-15	2	0.000186825	-4.050004877	2	2.59E-47	-15	2
SL1344_0993	SL1344_0993	0.632840971	-0.649733284	0	3.02E-08	-6.65468791	2	0.035439053	-2.411462	2	8.80E-23	-6.239848078	2
SL1344_0994	SL1344_0994	0.721032262	0.575273781	0	na	na	3	na	na	3	na	na	3
SL1344_0995	gtgE	0.032784108	-1.422080868	2	0.00000146	-15	2	0.184399371	-1.759355997	0	2.89E-30	-15	2
SL1344_0996	gtgF	0.994738066	0.053401833	0	0.0000214	-4.353481106	2	0.41585031	-1.497909534	0	9.23E-14	-3.961623462	2
SL1344_0997	pepN	0.492574459	-0.792961567	0	0.213764393	-1.50375865	0	0.952717207	0.32748556	0	0.014146339	1.792777318	1
SL1344_0998	pyrD	2.81E-08	-3.362988964	2	0.0000237	-15	2	0.000823173	-3.673848848	2	0.000222516	-1.950843623	2
SL1344_0999	ycbW	na	na	3	0.000000925	-5.763688687	2	0.237061214	-1.599830027	0	1.99E-23	-6.100184292	2
SL1344_1000	SL1344_1000	0.773028725	0.522525566	0	na	na	3	na	na	3	na	na	3
SL1344_1001	rlmL	0.254126871	1.055766745	0	0.12762894	1.579190825	0	0.575018151	1.284390161	0	0.0000549	3.239466913	1
SL1344_1002	uup	0.850466561	-0.323686838	0	0.993421536	-0.024029851	0	0.952821146	0.336905152	0	0.00158698	2.320755256	1
SL1344_1003	pqiA	0.499378307	0.885751255	0	na	na	3	na	na	3	na	na	3
SL1344_1004	pqiB	0.926711159	0.227863326	0	0.863879256	-0.343800275	0	0.869484142	0.663217148	0	0.015152227	1.258585518	1
SL1344_1005	ymbA	0.917392308	0.263125364	0	na	na	3	na	na	3	na	na	3
SL1344_1008	lonH	0.492799298	0.799021091	0	0.001208092	-2.967970506	2	0.230926896	-1.643316229	0	0.001617319	-1.639204111	2
SL1344_1009	ycbG	na	na	3	0.007653438	-3.284877292	2	0.070752762	-2.142830878	0	0.88236613	0.095151453	0
SL1344_1013	yccS	0.797961719	0.447150614	0	0.542299871	1.505357361	0	0.956571137	0.312970391	0	0.283668059	0.69954595	0
SL1344_1015	helD	0.917196048	0.253195308	0	0.144898849	-1.480190179	0	0.660898814	-0.943225387	0	0.226885965	-0.76648309	0
SL1344_1017	yccT	na	na	3	0.002164379	-5.488410686	2	0.922277462	-0.319088323	0	0.011008357	1.837259022	1
SL1344_1019	yccV	0.440137793	-0.776649869	0	na	na	3	na	na	3	na	na	3
SL1344_1020	yccW	0.490127376	0.798096441	0	na	na	3	na	na	3	na	na	3
SL1344_1021	SL1344_1021	0.905720768	0.280149671	0	na	na	3	na	na	3	na	na	3
SL1344_1022	SL1344_1022	0.675673192	0.614028752	0	0.259223123	2.117479592	0	0.97836283	-0.09923671	0	0.41875044	0.552522815	0
SL1344_1023	yccX	0.98965239	0.13515481	0	na	na	3	na	na	3	na	na	3
SL1344_1025	yccA	0.741418015	0.924817034	0	0.177424004	1.790028628	0	0.473178364	-1.198362061	0	0.000685108	-1.501577972	2
SL1344_1026	pipA	0.755203175	0.508791412	0	0.00000519	-15	2	0.245249443	-1.595390301	0	3.27E-33	-15	2
SL1344_1027	pipB	0.708341107	0.576097915	0	na	na	3	na	na	3	na	na	3
SL1344_1028	SL1344_1028	0.695188683	0.593712591	0	na	na	3	na	na	3	na	na	3
SL1344_1029	pipC	0.939441765	-0.175148328	0	na	na	3	1.39E-09	-9.042222694	2	1.92E-33	-15	2
SL1344_1030	sopB	0.740491461	0.514611846	0	0.00000027	-15	2	1.77E-10	-15	2	1.19E-33	-15	2
SL1344_1031	orfX	0.084227944	1.379749474	0	5.98E-10	-15	2	0.0000139	-4.993366528	2	2.22E-34	-15	2
SL1344_1032	SL1344_1032	0.785610821	0.471823385	0	na	na	3	na	na	3	na	na	3
SL1344_1033	pipD	0.745827329	-0.4699796	0	6.21E-08	-15	2	0.000000226	-5.884388992	2	2.22E-34	-15	2
SL1344_1034	copS	0.644562304	0.630366698	0	1.46E-08	-15	2	0.0000833	-4.124900771	2	7.26E-32	-15	2
SL1344_1035	copR	0.201325183	-1.15990575	0	na	na	3	na	na	3	na	na	3
SL1344_1037	hpaC	na	na	3	0.519930188	0.993475784	0	0.934228574	0.423413118	0	0.237099375	0.852834568	0
SL1344_1038	hpaB	0.636341041	0.641309094	0	na	na	3	0.731515295	0.986065161	0	0.666968958	0.315701806	0
SL1344_1040	hpaG	0.962704554	-0.133869706	0	na	na	3	na	na	3	na	na	3
SL1344_1041	hpaE	0.108230331	-1.295966768	0	na	na	3	na	na	3	na	na	3
SL1344_1042	hpaD	0.991927414	0.057259795	0	na	na	3	na	na	3	na	na	3
SL1344_1044	hpaH	0.394617426	0.962045768	0	0.515821185	0.99092049	0	0.906604231	0.513257221	0	0.589923043	-0.28886026	0
SL1344_1045	hpaI	0.880810323	0.338143552	0	0.760672634	0.400805018	0	0.981547694	0.590801966	0	0.755032252	-0.236406579	0
SL1344_1046	hpaX	0.303348893	1.236803301	0	0.738590332	-0.435849245	0	0.769675069	0.91313798	0	0.885293513	-0.037079199	0
SL1344_1047	hpaA	0.900956043	0.286776295	0	na	na	3	na	na	3	na	na	3
SL1344_1048	SL1344_1048	0.668324847	0.624199642	0	0.126778491	-1.664567641	0	0.979992466	0.418089649	0	0.251266465	0.865367437	0
SL1344_1049	SL1344_1049	0.424589681	1.305173802	0	na	na	3	na	na	3	na	na	3
SL1344_1051	cbpA	0.542823617	-0.717447831	0	na	na	3	na	na	3	na	na	3
SL1344_1053	scsB	0.540358203	0.733955759	0	0.310198202	-1.360871548	0	0.753722588	0.940741613	0	0.570182693	-0.450789919	0
SL1344_1054	scsC	0.964553016	0.131899464	0	na	na	3	na	na	3	na	na	3
SL1344_1055	scsD	0.824693947	0.463266715	0	na	na	3	na	na	3	na	na	3
SL1344_1056	agp	0.936976372	-0.169367873	0	0.833559899	0.321078401	0	0.982900601	-0.070649833	0	0.031700922	-1.115084169	2
SL1344_1058	wrbA	0.722477748	0.555985284	0	0.570462015	-0.688166153	0	0.288576552	-1.52169898	0	0.672078222	-0.342060606	0
SL1344_1059	ymdF	na	na	3	0.877205879	0.202637055	0	0.931788458	0.563344348	0	0.729378678	-0.203774209	0
SL1344_1060	ycdC	na	na	3	0.244183551	1.689980739	0	0.84085579	0.732799385	0	0.04078925	1.459272468	1
SL1344_1061	SL1344_1061	na	na	3	0.440659402	-0.923485938	0	0.573189077	2.912282741	0	0.436127225	0.33601891	0
SL1344_1062	putA	0.155513384	-1.135085253	0	0.175190929	-15	0	0.816212592	0.794057834	0	0.012637281	1.804692719	1
SL1344_1063	putP	0.300266118	-0.989689957	0	0.014392363	-3.11856196	2	0.79088708	-0.674154879	0	0.829966812	-0.134064725	0
SL1344_1064	phoH	0.669227889	0.672523612	0	na	na	3	na	na	3	na	na	3
SL1344_1065	SL1344_1065	0.656819038	-0.577564983	0	0.002664652	-1.919912093	2	0.008106771	-2.883411045	2	3.80E-13	-2.540547538	2
SL1344_1066	SL1344_1066	0.367400584	0.916591914	0	0.2556301	2.766755052	0	0.92928352	0.448607934	0	na	na	3
SL1344_1067	SL1344_1067	0.205765072	1.127494628	0	na	na	3	na	na	3	na	na	3
SL1344_1068	SL1344_1068	0.090274967	-1.415813229	0	0.001752668	-15	2	0.003825499	-3.950775582	2	5.66E-22	-15	2
SL1344_1069	SL1344_1069	0.122951482	1.277369717	0	na	na	3	na	na	3	na	na	3
SL1344_1070	SL1344_1070	0.926492309	-0.194279529	0	na	na	3	na	na	3	na	na	3
SL1344_1071	SL1344_1071	0.702527529	0.562919557	0	7.02E-09	-15	2	0.004993955	-3.076494855	2	1.84E-39	-6.493355486	2
SL1344_1072	ycdW	0.942911325	0.199195218	0	na	na	3	na	na	3	na	na	3
SL1344_1073	ycdX	0.962686503	0.143945729	0	na	na	3	na	na	3	na	na	3
SL1344_1074	ycdY	0.87293561	-0.290261994	0	na	na	3	na	na	3	na	na	3
SL1344_1076	csgG	na	na	3	2.72E-18	-5.898402703	2	0.014006565	-2.827500341	2	1.71E-16	-6.17089713	2
SL1344_1077	csgF	0.927386941	-1.196530744	0	0.00000379	-15	2	0.000111686	-4.25549757	2	4.52E-29	-15	2
SL1344_1078	csgE	1	0.02667025	0	na	na	3	na	na	3	na	na	3
SL1344_1080	csgB	na	na	3	7.37E-08	-15	2	9.06E-10	-15	2	1.06E-32	-15	2
